problem_id,branch,total_goals,covered,reported_by_name,value_only,reported_and_correct,cas_lax,cas_lax_std,cas_lax_max_correct,cas_lax_min_correct,cas_strict,cas_strict_std,cas_strict_max_correct,cas_strict_min_correct
problem_001__ontology,ontology,2,2,2,0,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_001__single,single,2,2,2,0,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_002__ontology,ontology,3,3,0,3,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_002__single,single,3,3,0,3,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_003__ontology,ontology,2,2,0,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_003__single,single,2,2,0,2,2,0.9,0.2,1.0,1.0,0.9,0.2,1.0,1.0
problem_004__ontology,ontology,2,2,0,2,2,0.6,0.4898979485566356,1.0,1.0,0.6,0.4898979485566356,1.0,1.0
problem_004__single,single,2,2,0,2,2,0.6,0.4898979485566356,1.0,1.0,0.6,0.4898979485566356,1.0,1.0
problem_005__ontology,ontology,3,3,0,3,3,0.8,0.4,1.0,1.0,0.8,0.4,1.0,1.0
problem_005__single,single,3,3,0,3,3,0.8,0.4,1.0,1.0,0.8,0.4,1.0,1.0
problem_006__ontology,ontology,3,2,0,2,2,0.6666666666666666,0.0,,,0.6666666666666666,0.0,,
problem_006__single,single,3,2,0,2,2,0.6666666666666666,0.0,,,0.6666666666666666,0.0,,
problem_007__ontology,ontology,3,3,0,3,3,0.8666666666666666,0.16329931618554522,1.0,1.0,0.8666666666666666,0.16329931618554522,1.0,1.0
problem_007__single,single,3,3,0,3,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_008__ontology,ontology,3,3,0,3,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_008__single,single,3,3,0,3,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_009__ontology,ontology,2,2,0,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_009__single,single,2,2,0,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_010__ontology,ontology,2,2,0,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_010__single,single,2,2,0,2,2,0.9,0.2,1.0,1.0,0.9,0.2,1.0,1.0
problem_011__ontology,ontology,2,2,0,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_011__single,single,2,2,0,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_012__ontology,ontology,1,1,0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_012__single,single,1,1,0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_013__ontology,ontology,2,2,0,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_013__single,single,2,2,0,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_014__ontology,ontology,3,3,0,3,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_014__single,single,3,3,0,3,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_015__ontology,ontology,4,4,0,4,4,0.95,0.1,1.0,1.0,0.95,0.1,1.0,1.0
problem_015__single,single,4,4,0,4,4,0.9,0.1224744871391589,1.0,1.0,0.9,0.1224744871391589,1.0,1.0
problem_016__ontology,ontology,4,4,2,2,4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_016__single,single,4,4,2,2,4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_017__ontology,ontology,3,3,0,3,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_017__single,single,3,3,0,3,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_018__ontology,ontology,3,1,0,1,1,0.3333333333333333,0.0,,,0.3333333333333333,0.0,,
problem_018__single,single,3,1,0,1,1,0.3333333333333333,0.0,,,0.3333333333333333,0.0,,
problem_019__ontology,ontology,2,2,0,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_019__single,single,2,2,0,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_020__ontology,ontology,2,2,0,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_020__single,single,2,2,0,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_021__ontology,ontology,2,2,0,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_021__single,single,2,2,0,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_022__ontology,ontology,1,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_022__single,single,1,1,1,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_023__ontology,ontology,5,2,0,2,2,0.4,0.0,,,0.4,0.0,,
problem_023__single,single,5,2,0,2,2,0.16,0.19595917942265426,,,0.16,0.19595917942265426,,
problem_024__ontology,ontology,1,0,0,0,0,0.0,0.0,,,0.0,0.0,,
problem_024__single,single,1,0,0,0,0,0.0,0.0,,,0.0,0.0,,
problem_025__ontology,ontology,1,1,0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_025__single,single,1,1,0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_026__ontology,ontology,2,2,0,2,2,0.8,0.2449489742783178,1.0,1.0,0.8,0.2449489742783178,1.0,1.0
problem_026__single,single,2,2,0,2,2,0.8,0.2449489742783178,1.0,1.0,0.8,0.2449489742783178,1.0,1.0
problem_027__ontology,ontology,1,1,0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
problem_027__single,single,1,1,0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
