problem_id,branch,layer,calls,total_s,mean_s,min_s,max_s,prompt_tokens,completion_tokens
problem_001,ontology,generate_dsl,1,0.001091,0.001091,0.001091,0.001091,5326,804
problem_001,ontology,extract_problem,0,0,0.0,0.0,0.0,652,577
problem_001,ontology,reasoner_pellet,1,2.069898,2.069898,2.069898,2.069898,0,0
problem_001,ontology,emit_java,1,0.00115,0.00115,0.00115,0.00115,0,0
problem_001,ontology,validate_dsl,1,2.093761,2.093761,2.093761,2.093761,0,0
problem_001,ontology,generate_dsl,1,0.001074,0.001074,0.001074,0.001074,5248,769
problem_001,ontology,extract_problem,0,0,0.0,0.0,0.0,652,499
problem_001,ontology,reasoner_pellet,1,0.892916,0.892916,0.892916,0.892916,0,0
problem_001,ontology,emit_java,1,0.000793,0.000793,0.000793,0.000793,0,0
problem_001,ontology,validate_dsl,1,0.913475,0.913475,0.913475,0.913475,0,0
problem_001,ontology,generate_dsl,1,0.002482,0.002482,0.002482,0.002482,5346,817
problem_001,ontology,extract_problem,0,0,0.0,0.0,0.0,652,597
problem_001,ontology,reasoner_pellet,1,0.857727,0.857727,0.857727,0.857727,0,0
problem_001,ontology,emit_java,1,0.000661,0.000661,0.000661,0.000661,0,0
problem_001,ontology,validate_dsl,1,0.883394,0.883394,0.883394,0.883394,0,0
problem_001,ontology,generate_dsl,1,0.000739,0.000739,0.000739,0.000739,5384,1085
problem_001,ontology,extract_problem,0,0,0.0,0.0,0.0,652,631
problem_001,ontology,reasoner_pellet,1,0.885998,0.885998,0.885998,0.885998,0,0
problem_001,ontology,emit_java,1,0.000778,0.000778,0.000778,0.000778,0,0
problem_001,ontology,validate_dsl,1,0.909806,0.909806,0.909806,0.909806,0,0
problem_001,ontology,generate_dsl,1,0.000843,0.000843,0.000843,0.000843,5360,881
problem_001,ontology,extract_problem,0,0,0.0,0.0,0.0,652,611
problem_001,ontology,reasoner_pellet,1,0.971121,0.971121,0.971121,0.971121,0,0
problem_001,ontology,emit_java,1,0.000701,0.000701,0.000701,0.000701,0,0
problem_001,ontology,validate_dsl,1,0.990271,0.990271,0.990271,0.990271,0,0
problem_001,single,extract_problem,0,0,0.0,0.0,0.0,652,577
problem_001,single,generate_dsl,1,12.948977,12.948977,12.948977,12.948977,5326,804
problem_001,single,emit_java,1,0.022683,0.022683,0.022683,0.022683,0,0
problem_001,single,extract_problem,0,0,0.0,0.0,0.0,652,499
problem_001,single,generate_dsl,1,12.164843,12.164843,12.164843,12.164843,5248,769
problem_001,single,emit_java,1,0.043082,0.043082,0.043082,0.043082,0,0
problem_001,single,extract_problem,0,0,0.0,0.0,0.0,652,597
problem_001,single,generate_dsl,1,13.19682,13.19682,13.19682,13.19682,5346,817
problem_001,single,emit_java,1,0.025449,0.025449,0.025449,0.025449,0,0
problem_001,single,extract_problem,0,0,0.0,0.0,0.0,652,631
problem_001,single,generate_dsl,1,19.870039,19.870039,19.870039,19.870039,5384,1085
problem_001,single,emit_java,1,0.027481,0.027481,0.027481,0.027481,0,0
problem_001,single,extract_problem,0,0,0.0,0.0,0.0,652,611
problem_001,single,generate_dsl,1,12.63809,12.63809,12.63809,12.63809,5360,881
problem_001,single,emit_java,1,0.018837,0.018837,0.018837,0.018837,0,0
problem_002,ontology,generate_dsl,2,22.206263,11.103132,0.000866,22.205397,11362,3950
problem_002,ontology,extract_problem,0,0,0.0,0.0,0.0,668,773
problem_002,ontology,reasoner_pellet,1,0.901451,0.901451,0.901451,0.901451,0,0
problem_002,ontology,emit_java,1,0.000682,0.000682,0.000682,0.000682,0,0
problem_002,ontology,validate_dsl,2,0.962515,0.481258,0.01867,0.943845,0,0
problem_002,ontology,generate_dsl,2,23.011909,11.505955,0.000755,23.011155,11648,3955
problem_002,ontology,extract_problem,0,0,0.0,0.0,0.0,668,917
problem_002,ontology,reasoner_pellet,1,0.955394,0.955394,0.955394,0.955394,0,0
problem_002,ontology,emit_java,1,0.002715,0.002715,0.002715,0.002715,0,0
problem_002,ontology,validate_dsl,2,1.034296,0.517148,0.031653,1.002642,0,0
problem_002,ontology,generate_dsl,2,22.881305,11.440653,0.000532,22.880774,11514,3764
problem_002,ontology,extract_problem,0,0,0.0,0.0,0.0,668,891
problem_002,ontology,reasoner_pellet,1,0.900606,0.900606,0.900606,0.900606,0,0
problem_002,ontology,emit_java,1,0.00111,0.00111,0.00111,0.00111,0,0
problem_002,ontology,validate_dsl,2,0.963453,0.481727,0.029488,0.933965,0,0
problem_002,ontology,generate_dsl,1,0.000452,0.000452,0.000452,0.000452,5680,1897
problem_002,ontology,extract_problem,0,0,0.0,0.0,0.0,668,916
problem_002,ontology,reasoner_pellet,1,0.886704,0.886704,0.886704,0.886704,0,0
problem_002,ontology,emit_java,1,0.000612,0.000612,0.000612,0.000612,0,0
problem_002,ontology,validate_dsl,1,0.916945,0.916945,0.916945,0.916945,0,0
problem_002,ontology,generate_dsl,1,0.001177,0.001177,0.001177,0.001177,5614,1917
problem_002,ontology,extract_problem,0,0,0.0,0.0,0.0,668,850
problem_002,ontology,reasoner_pellet,1,0.887438,0.887438,0.887438,0.887438,0,0
problem_002,ontology,emit_java,1,0.000862,0.000862,0.000862,0.000862,0,0
problem_002,ontology,validate_dsl,1,0.913824,0.913824,0.913824,0.913824,0,0
problem_002,single,extract_problem,0,0,0.0,0.0,0.0,668,773
problem_002,single,generate_dsl,1,23.883064,23.883064,23.883064,23.883064,5537,2019
problem_002,single,emit_java,1,0.023835,0.023835,0.023835,0.023835,0,0
problem_002,single,extract_problem,0,0,0.0,0.0,0.0,668,917
problem_002,single,generate_dsl,1,23.468602,23.468602,23.468602,23.468602,5681,2004
problem_002,single,emit_java,1,0.0189,0.0189,0.0189,0.0189,0,0
problem_002,single,extract_problem,0,0,0.0,0.0,0.0,668,891
problem_002,single,generate_dsl,1,22.713184,22.713184,22.713184,22.713184,5655,1907
problem_002,single,emit_java,1,0.023104,0.023104,0.023104,0.023104,0,0
problem_002,single,extract_problem,0,0,0.0,0.0,0.0,668,916
problem_002,single,generate_dsl,1,22.503899,22.503899,22.503899,22.503899,5680,1897
problem_002,single,emit_java,1,0.026521,0.026521,0.026521,0.026521,0,0
problem_002,single,extract_problem,0,0,0.0,0.0,0.0,668,850
problem_002,single,generate_dsl,1,26.131567,26.131567,26.131567,26.131567,5614,1917
problem_002,single,emit_java,1,0.03088,0.03088,0.03088,0.03088,0,0
problem_003,ontology,generate_dsl,1,0.000963,0.000963,0.000963,0.000963,5195,742
