problem_id,branch,iterations,validation_passed,wall_total_s,prompt_tokens_total,completion_tokens_total
problem_001,ontology,1,True,2.099757,5978,1381
problem_001,ontology,1,True,0.918873,5900,1268
problem_001,ontology,1,True,0.889719,5998,1414
problem_001,ontology,1,True,0.914505,6036,1716
problem_001,ontology,1,True,0.995244,6012,1492
problem_001,single,1,True,12.977742,5978,1381
problem_001,single,1,True,12.211751,5900,1268
problem_001,single,1,True,13.227033,5998,1414
problem_001,single,1,True,19.901701,6036,1716
problem_001,single,1,True,12.660531,6012,1492
problem_002,ontology,2,True,23.176511,12030,4723
problem_002,ontology,2,True,24.054029,12316,4872
problem_002,ontology,2,True,23.851331,12182,4655
problem_002,ontology,1,True,0.921427,6348,2813
problem_002,ontology,1,True,0.920304,6282,2767
problem_002,single,1,True,23.910916,6205,2792
problem_002,single,1,True,23.49085,6349,2921
problem_002,single,1,True,22.740691,6323,2798
problem_002,single,1,True,22.533831,6348,2813
problem_002,single,1,True,26.165638,6282,2767
problem_003,ontology,1,True,0.972003,5833,1203
problem_003,ontology,1,True,0.979133,5880,1270
problem_003,ontology,1,True,0.93394,5854,1221
problem_003,ontology,2,True,12.573876,11308,1997
problem_003,ontology,1,True,1.004934,5880,1258
problem_003,single,1,True,11.231471,5833,1203
problem_003,single,1,True,11.605837,5880,1270
problem_003,single,1,True,11.425428,5854,1221
problem_003,single,1,True,12.031753,5844,1247
problem_003,single,1,True,11.898964,5880,1258
problem_004,ontology,1,True,0.940053,5985,1645
problem_004,ontology,1,True,0.920681,5977,1555
problem_004,ontology,1,True,1.052337,6038,1706
problem_004,ontology,1,True,0.921811,6053,1743
problem_004,ontology,1,True,0.957105,5980,1551
problem_004,single,1,True,14.263929,5985,1645
problem_004,single,1,True,14.518153,5977,1555
problem_004,single,1,True,14.194992,6038,1706
problem_004,single,1,True,14.324223,6053,1743
problem_004,single,1,True,14.586952,5980,1551
problem_005,ontology,1,True,1.011822,6061,2264
problem_005,ontology,1,True,1.080385,6021,2083
problem_005,ontology,1,True,1.009074,6089,2290
problem_005,ontology,1,True,2.406357,6035,2161
problem_005,ontology,1,True,0.983674,6054,2273
problem_005,single,1,True,19.768928,6061,2264
problem_005,single,1,True,17.276946,6021,2083
problem_005,single,1,True,19.738586,6089,2290
problem_005,single,1,True,19.875056,6035,2161
problem_005,single,1,True,19.277429,6054,2273
problem_006,ontology,1,True,0.984785,6147,2095
problem_006,ontology,1,True,1.034604,6144,2183
problem_006,ontology,1,True,1.013766,6158,2225
problem_006,ontology,1,True,1.023094,6232,2231
problem_006,ontology,1,True,0.964462,6148,2149
problem_006,single,1,True,16.687732,6147,2095
problem_006,single,1,True,19.905275,6144,2183
problem_006,single,1,True,17.691976,6158,2225
problem_006,single,1,True,17.284065,6232,2231
problem_006,single,1,True,22.654753,6148,2149
problem_007,ontology,2,True,22.851826,11941,4267
problem_007,ontology,1,True,1.091518,6156,2344
problem_007,ontology,1,True,0.971504,6222,2518
problem_007,ontology,1,True,0.968203,6152,2318
problem_007,ontology,2,True,21.17967,11782,4245
problem_007,single,1,True,21.060944,6201,2524
problem_007,single,1,True,20.411547,6156,2344
problem_007,single,1,True,19.70332,6222,2518
problem_007,single,1,True,19.961353,6152,2318
problem_007,single,1,True,24.683553,6125,2609
problem_008,ontology,1,True,0.989759,6383,1748
problem_008,ontology,1,True,0.965611,6400,1766
problem_008,ontology,1,True,0.956766,6439,1795
problem_008,ontology,1,True,0.950431,6344,1869
problem_008,ontology,1,True,0.960303,6437,1785
problem_008,single,1,True,12.308824,6383,1748
problem_008,single,1,True,11.877647,6400,1766
problem_008,single,1,True,11.121344,6439,1795
problem_008,single,1,True,13.490274,6344,1869
problem_008,single,1,True,10.878367,6437,1785
problem_009,ontology,1,True,1.058743,5866,1275
problem_009,ontology,1,True,1.051833,5827,1233
problem_009,ontology,1,True,1.042728,5834,1254
problem_009,ontology,1,True,0.921154,5827,1251
problem_009,ontology,1,True,0.937584,5832,1246
problem_009,single,1,True,11.112176,5866,1275
problem_009,single,1,True,10.595839,5827,1233
