problem_id,rule,goal,value,passed
problem_001__ontology,kinetic_energy_nonneg,kinetic_energy,2.4544632611709504e+22,True
problem_001__ontology,orbital_mech_energy_negative,mechanical_energy,-2.4544632611709504e+22,True
problem_001__single,kinetic_energy_nonneg,kinetic_energy,2.4544632611709504e+22,True
problem_001__single,orbital_mech_energy_negative,mechanical_energy,-2.4544632611709504e+22,True
problem_002__ontology,period_positive,orbital_period,86824.99118184928,True
problem_002__ontology,velocity_below_c,orbital_velocity,3066.151321658319,True
problem_002__ontology,orbital_energy_required_positive,orbital_energy_required,115663833812.0964,True
problem_002__ontology,orbital_v_period_consistency,(relational),,True
problem_002__single,period_positive,orbital_period,86824.99118184928,True
problem_002__single,velocity_below_c,orbital_velocity,3066.151321658319,True
problem_002__single,orbital_energy_required_positive,orbital_energy_required,115663833812.0964,True
problem_002__single,orbital_v_period_consistency,(relational),,True
problem_003__ontology,period_positive,orbital_period,2368939.0578629915,True
problem_003__ontology,velocity_below_c,orbital_velocity,1018.4910202516925,True
problem_003__ontology,orbital_v_period_consistency,(relational),,True
problem_003__single,period_positive,orbital_period,2368939.0578629915,True
problem_003__single,velocity_below_c,orbital_velocity,1018.4910202516925,True
problem_003__single,orbital_v_period_consistency,(relational),,True
problem_004__ontology,mass_positive,mass_of_mars,6.427711010581384e+23,True
problem_004__ontology,surface_gravity_positive,surface_gravity_mars,3.730635170297668,True
problem_004__single,mass_positive,mass_of_mars,6.427711010581384e+23,True
problem_004__single,surface_gravity_positive,surface_gravity_mars,3.730635170297668,True
problem_005__ontology,mass_positive,mass_of_didymos,535280523455.96045,True
problem_005__ontology,surface_gravity_positive,surface_gravity_didymos,0.00023413438508043997,True
problem_005__ontology,force_positive,gravitational_force_on_dimorphos,1258037.2468283284,True
problem_005__single,mass_positive,mass_of_didymos,535280523455.96045,True
problem_005__single,surface_gravity_positive,surface_gravity_didymos,0.00023413438508043997,True
problem_005__single,force_positive,gravitational_force_on_dimorphos,1258037.2468283284,True
problem_006__ontology,period_positive,orbital_period,5665.020228837372,True
problem_006__ontology,velocity_below_c,orbital_velocity,7619.652060656909,True
problem_006__ontology,orbital_v_period_consistency,(relational),,True
problem_006__single,period_positive,orbital_period,5665.020228837372,True
problem_006__single,velocity_below_c,orbital_velocity,7619.652060656909,True
problem_006__single,orbital_v_period_consistency,(relational),,True
problem_007__ontology,period_positive,orbital_period,20.227846998843553,True
problem_007__ontology,escape_velocity_positive,lunar_escape_velocity,2373.815494093844,True
problem_007__ontology,velocity_below_c,lunar_escape_velocity,2373.815494093844,True
problem_007__ontology,orbital_mech_energy_negative,mechanical_energy,-1408750000.0,True
problem_007__single,period_positive,orbital_period,20.227846998843553,True
problem_007__single,escape_velocity_positive,lunar_escape_velocity,2373.815494093844,True
problem_007__single,velocity_below_c,lunar_escape_velocity,2373.815494093844,True
problem_007__single,orbital_mech_energy_negative,mechanical_energy,-1408750000.0,True
problem_008__ontology,acceleration_finite,acceleration_segment_1,3.0,True
problem_008__ontology,acceleration_finite,acceleration_segment_2,0.0,True
problem_008__ontology,acceleration_finite,acceleration_segment_3,-2.0,True
problem_008__single,acceleration_finite,acceleration_segment_1,3.0,True
problem_008__single,acceleration_finite,acceleration_segment_2,0.0,True
problem_008__single,acceleration_finite,acceleration_segment_3,-2.0,True
problem_009__ontology,distance_nonneg,distance_covered,79.33333333319999,True
problem_009__ontology,velocity_below_c,final_velocity,4.222222222199999,True
problem_009__single,distance_nonneg,distance_covered,79.33333333319999,True
problem_009__single,velocity_below_c,final_velocity,4.222222222199999,True
problem_010__ontology,distance_nonneg,distance_covered,62.5,True
problem_010__ontology,acceleration_finite,acceleration,-5.0,True
problem_010__single,distance_nonneg,distance_covered,62.5,True
problem_010__single,acceleration_finite,acceleration,-5.0,True
problem_011__ontology,distance_nonneg,distance_covered,150.0,True
problem_011__ontology,acceleration_finite,acceleration,3.0,True
problem_011__single,distance_nonneg,distance_covered,150.0,True
problem_011__single,acceleration_finite,acceleration,3.0,True
problem_012__ontology,height_nonneg,fall_height,11.479591836734693,True
problem_012__single,height_nonneg,fall_height,11.479591836734693,True
problem_013__ontology,time_positive,time_to_maximum_height,1.530612244897959,True
problem_013__ontology,height_nonneg,maximum_height,11.479591836734693,True
problem_013__single,time_positive,time_to_maximum_height,1.530612244897959,True
problem_013__single,height_nonneg,maximum_height,11.479591836734693,True
problem_014__ontology,period_positive,period,0.1,True
problem_014__ontology,velocity_below_c,angular_velocity,62.83185307179586,True
problem_014__ontology,velocity_below_c,linear_velocity,31.41592653589793,True
problem_014__single,period_positive,period,0.1,True
problem_014__single,velocity_below_c,angular_velocity,62.83185307179586,True
problem_014__single,velocity_below_c,linear_velocity,31.41592653589793,True
problem_015__ontology,period_positive,period,4.0,True
problem_015__ontology,frequency_positive,frequency,0.25,True
problem_015__ontology,centripetal_accel_positive,centripetal_acceleration,1.2337005501361697,True
problem_015__ontology,velocity_below_c,linear_velocity,0.7853981633974483,True
problem_015__single,period_positive,period,4.0,True
problem_015__single,frequency_positive,frequency,0.25,True
problem_015__single,centripetal_accel_positive,centripetal_acceleration,1.2337005501361697,True
problem_015__single,velocity_below_c,linear_velocity,0.7853981633974483,True
problem_016__ontology,period_positive,period,0.2,True
problem_016__ontology,frequency_positive,frequency,5.0,True
problem_016__ontology,centripetal_accel_positive,centripetal_acceleration_surface,98.69604401089359,True
problem_016__ontology,centripetal_accel_positive,centripetal_acceleration_at_5_cm,49.34802200544679,True
problem_016__single,period_positive,period,0.2,True
problem_016__single,frequency_positive,frequency,5.0,True
problem_016__single,centripetal_accel_positive,centripetal_acceleration_surface,98.69604401089359,True
problem_016__single,centripetal_accel_positive,centripetal_acceleration_at_5_cm,49.34802200544679,True
problem_017__ontology,distance_nonneg,distance_covered,270.0,True
problem_017__ontology,force_positive,engine_force,992.0,True
problem_017__ontology,velocity_below_c,final_velocity,90.0,True
problem_017__single,distance_nonneg,distance_covered,270.0,True
problem_017__single,force_positive,engine_force,992.0,True
problem_017__single,velocity_below_c,final_velocity,90.0,True
problem_018__ontology,surface_mech_energy_nonneg,mechanical_energy,1938750000.0,True
problem_018__single,surface_mech_energy_nonneg,mechanical_energy,1938750000.0,True
problem_019__ontology,energy_consumed_nonneg,daily_energy_consumed,86400000.0,True
problem_019__ontology,energy_consumed_nonneg,monthly_energy_consumed,2592000000.0,True
problem_019__ontology,monthly_energy_is_30_daily,(relational),,True
problem_019__single,energy_consumed_nonneg,daily_energy_consumed,86400000.0,True
problem_019__single,energy_consumed_nonneg,monthly_energy_consumed,2592000000.0,True
problem_019__single,monthly_energy_is_30_daily,(relational),,True
problem_020__ontology,velocity_below_c,final_velocity,12.876334882255899,True
problem_020__ontology,surface_mech_energy_nonneg,initial_mechanical_energy,12.435,True
problem_020__single,velocity_below_c,final_velocity,12.876334882255899,True
problem_020__single,surface_mech_energy_nonneg,initial_mechanical_energy,12.435,True
problem_021__ontology,energy_consumed_nonneg,energy_consumed_kwh,0.18,True
problem_021__ontology,energy_consumed_nonneg,energy_consumed_j,648000.0,True
problem_021__ontology,energy_kwh_joule_consistency,(relational),,True
problem_021__single,energy_consumed_nonneg,energy_consumed_kwh,0.18,True
problem_021__single,energy_consumed_nonneg,energy_consumed_j,648000.0,True
problem_021__single,energy_kwh_joule_consistency,(relational),,True
problem_022__ontology,kinetic_energy_nonneg,kinetic_energy,585000.0,True
problem_022__single,kinetic_energy_nonneg,kinetic_energy,585000.0,True
problem_023__ontology,force_positive,advance_force,2309.070600388498,True
problem_023__ontology,force_positive,return_force,2014.5462891144552,True
problem_023__single,force_positive,advance_force,2309.070600388498,True
problem_023__single,force_positive,return_force,2014.5462891144552,True
problem_025__ontology,force_positive,average_force,0.3,True
problem_025__single,force_positive,average_force,0.3,True
problem_026__ontology,density_positive,density_g_ml,3.75,True
problem_026__ontology,density_positive,density_kg_m3,3750.0000000000005,True
problem_026__single,density_positive,density_g_ml,3.75,True
problem_026__single,density_positive,density_kg_m3,3750.0000000000005,True
problem_027__ontology,force_positive,force_small_piston,480.0,True
problem_027__single,force_positive,force_small_piston,480.0,True
