problem_id,branch,domain,applicable,passed,lcs,lcs_std,lcs_max_correct,lcs_min_correct
problem_001__ontology,ontology,gravitation,2,2,1.0,0.0,1.0,1.0
problem_001__single,single,gravitation,2,2,1.0,0.0,1.0,1.0
problem_002__ontology,ontology,gravitation,4,4,1.0,0.0,1.0,1.0
problem_002__single,single,gravitation,4,4,1.0,0.0,1.0,1.0
problem_003__ontology,ontology,gravitation,3,3,1.0,0.0,1.0,1.0
problem_003__single,single,gravitation,3,3,1.0,0.0,1.0,1.0
problem_004__ontology,ontology,gravitation,2,2,1.0,0.0,1.0,1.0
problem_004__single,single,gravitation,2,2,1.0,0.0,1.0,1.0
problem_005__ontology,ontology,gravitation,3,3,1.0,0.0,1.0,1.0
problem_005__single,single,gravitation,3,3,1.0,0.0,1.0,1.0
problem_006__ontology,ontology,gravitation,3,3,1.0,0.0,,
problem_006__single,single,gravitation,3,3,1.0,0.0,,
problem_007__ontology,ontology,gravitation,4,4,1.0,0.0,1.0,1.0
problem_007__single,single,gravitation,4,4,1.0,0.0,1.0,1.0
problem_008__ontology,ontology,linear_kinematics,3,3,1.0,0.0,1.0,1.0
problem_008__single,single,linear_kinematics,3,3,1.0,0.0,1.0,1.0
problem_009__ontology,ontology,linear_kinematics,2,2,1.0,0.0,1.0,1.0
problem_009__single,single,linear_kinematics,2,2,1.0,0.0,1.0,1.0
problem_010__ontology,ontology,linear_kinematics,2,2,1.0,0.0,1.0,1.0
problem_010__single,single,linear_kinematics,2,2,1.0,0.0,1.0,1.0
problem_011__ontology,ontology,linear_kinematics,2,2,1.0,0.0,1.0,1.0
problem_011__single,single,linear_kinematics,2,2,1.0,0.0,1.0,1.0
problem_012__ontology,ontology,free_fall,1,1,1.0,0.0,1.0,1.0
problem_012__single,single,free_fall,1,1,1.0,0.0,1.0,1.0
problem_013__ontology,ontology,free_fall,2,2,1.0,0.0,1.0,1.0
problem_013__single,single,free_fall,2,2,1.0,0.0,1.0,1.0
problem_014__ontology,ontology,angular_kinematics,3,3,1.0,0.0,1.0,1.0
problem_014__single,single,angular_kinematics,3,3,1.0,0.0,1.0,1.0
problem_015__ontology,ontology,angular_kinematics,4,4,1.0,0.0,1.0,1.0
problem_015__single,single,angular_kinematics,4,4,1.0,0.0,1.0,1.0
problem_016__ontology,ontology,angular_kinematics,4,4,1.0,0.0,1.0,1.0
problem_016__single,single,angular_kinematics,4,4,1.0,0.0,1.0,1.0
problem_017__ontology,ontology,dynamics,3,3,1.0,0.0,1.0,1.0
problem_017__single,single,dynamics,3,3,1.0,0.0,1.0,1.0
problem_018__ontology,ontology,work_energy,1,1,1.0,0.0,,
problem_018__single,single,work_energy,1,1,1.0,0.0,,
problem_019__ontology,ontology,work_energy,3,3,1.0,0.0,1.0,1.0
problem_019__single,single,work_energy,3,3,1.0,0.0,1.0,1.0
problem_020__ontology,ontology,work_energy,2,2,1.0,0.0,1.0,1.0
problem_020__single,single,work_energy,2,2,1.0,0.0,1.0,1.0
problem_021__ontology,ontology,work_energy,3,3,1.0,0.0,1.0,1.0
problem_021__single,single,work_energy,3,3,1.0,0.0,1.0,1.0
problem_022__ontology,ontology,work_energy,1,1,1.0,0.0,1.0,1.0
problem_022__single,single,work_energy,1,1,1.0,0.0,1.0,1.0
problem_023__ontology,ontology,fluid_statics,2,2,1.0,0.0,,
problem_023__single,single,fluid_statics,2,2,1.0,0.0,,
problem_024__ontology,ontology,dynamics,0,0,,,,
problem_024__single,single,dynamics,0,0,,,,
problem_025__ontology,ontology,dynamics,1,1,1.0,0.0,1.0,1.0
problem_025__single,single,dynamics,1,1,1.0,0.0,1.0,1.0
problem_026__ontology,ontology,fluid_statics,2,2,1.0,0.0,1.0,1.0
problem_026__single,single,fluid_statics,2,2,1.0,0.0,1.0,1.0
problem_027__ontology,ontology,fluid_statics,1,1,1.0,0.0,1.0,1.0
problem_027__single,single,fluid_statics,1,1,1.0,0.0,1.0,1.0
