problem_id,branch,n_samples,n_correct,n_compiled,n_ran,pass_at_1,pass_at_5,error
problem_001__ontology,ontology,5,5,5,5,1.0,1.0,
problem_001__single,single,5,5,5,5,1.0,1.0,
problem_002__ontology,ontology,5,5,5,5,1.0,1.0,
problem_002__single,single,5,2,2,2,0.4,1.0,
problem_003__ontology,ontology,5,5,5,5,1.0,1.0,
problem_003__single,single,5,4,5,5,0.8,1.0,
problem_004__ontology,ontology,5,3,5,5,0.6,1.0,
problem_004__single,single,5,3,5,5,0.6,1.0,
problem_005__ontology,ontology,5,4,5,5,0.8,1.0,
problem_005__single,single,5,4,5,5,0.8,1.0,
problem_006__ontology,ontology,5,0,5,5,0.0,0.0,
problem_006__single,single,5,0,5,5,0.0,0.0,
problem_007__ontology,ontology,5,3,5,5,0.6,1.0,
problem_007__single,single,5,4,4,4,0.8,1.0,
problem_008__ontology,ontology,5,5,5,5,1.0,1.0,
problem_008__single,single,5,5,5,5,1.0,1.0,
problem_009__ontology,ontology,5,5,5,5,1.0,1.0,
problem_009__single,single,5,5,5,5,1.0,1.0,
problem_010__ontology,ontology,5,5,5,5,1.0,1.0,
problem_010__single,single,5,4,5,5,0.8,1.0,
problem_011__ontology,ontology,5,5,5,5,1.0,1.0,
problem_011__single,single,5,5,5,5,1.0,1.0,
problem_012__ontology,ontology,5,5,5,5,1.0,1.0,
problem_012__single,single,5,5,5,5,1.0,1.0,
problem_013__ontology,ontology,5,5,5,5,1.0,1.0,
problem_013__single,single,5,5,5,5,1.0,1.0,
problem_014__ontology,ontology,5,5,5,5,1.0,1.0,
problem_014__single,single,5,5,5,5,1.0,1.0,
problem_015__ontology,ontology,5,4,5,5,0.8,1.0,
problem_015__single,single,5,3,5,5,0.6,1.0,
problem_016__ontology,ontology,5,5,5,5,1.0,1.0,
problem_016__single,single,5,5,5,5,1.0,1.0,
problem_017__ontology,ontology,5,5,5,5,1.0,1.0,
problem_017__single,single,5,5,5,5,1.0,1.0,
problem_018__ontology,ontology,5,0,5,5,0.0,0.0,
problem_018__single,single,5,0,5,5,0.0,0.0,
problem_019__ontology,ontology,5,5,5,5,1.0,1.0,
problem_019__single,single,5,5,5,5,1.0,1.0,
problem_020__ontology,ontology,5,5,5,5,1.0,1.0,
problem_020__single,single,5,5,5,5,1.0,1.0,
problem_021__ontology,ontology,5,5,5,5,1.0,1.0,
problem_021__single,single,5,5,5,5,1.0,1.0,
problem_022__ontology,ontology,5,5,5,5,1.0,1.0,
problem_022__single,single,5,5,5,5,1.0,1.0,
problem_023__ontology,ontology,5,0,5,5,0.0,0.0,
problem_023__single,single,5,0,5,5,0.0,0.0,
problem_024__ontology,ontology,5,0,5,5,0.0,0.0,
problem_024__single,single,5,0,5,5,0.0,0.0,
problem_025__ontology,ontology,5,5,5,5,1.0,1.0,
problem_025__single,single,5,5,5,5,1.0,1.0,
problem_026__ontology,ontology,5,3,5,5,0.6,1.0,
problem_026__single,single,5,3,5,5,0.6,1.0,
problem_027__ontology,ontology,5,5,5,5,1.0,1.0,
problem_027__single,single,5,5,5,5,1.0,1.0,
